"Name","School","AVG","G","GS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","SO","GDP","OBP","SF","SH","SB","SBA","OPS","ISO","x1B","wOBA","BB_to_K","PA","K_rate","BB_rate"
"Shanks, Jacob","UC Riverside",0.294,34,32,119,10,35,9,0,1,18,47,0.294,8,6,23,2,0.366,1,0,3,6,0.66,0.101,25,0.34,0.35,134,17.2,6
"Badawi, Jacob","UC Riverside",0.248,44,34,149,17,37,7,0,0,14,44,0.248,5,2,20,5,0.28,1,0,1,3,0.528,0.047,30,0.258,0.25,157,12.7,3.2
"Rivas, Andrew","UC Riverside",0.248,47,35,141,18,35,4,2,2,21,49,0.248,13,3,35,2,0.323,1,0,0,0,0.571,0.099,27,0.302,0.37,158,22.2,8.2
"Pofek, Cole","UC Riverside",0.172,33,16,64,6,11,3,1,0,7,16,0.172,7,2,29,0,0.274,0,1,1,1,0.446,0.078,7,0.246,0.24,74,39.2,9.5
"Mata, Anthony","UC Riverside",0.223,48,47,166,21,37,5,2,1,15,49,0.223,18,4,34,1,0.312,1,2,10,16,0.535,0.072,29,0.279,0.53,191,17.8,9.4
"Orick, Dylan","UC Riverside",0.247,53,52,194,23,48,16,2,3,32,77,0.247,21,3,51,2,0.327,2,0,3,5,0.574,0.149,27,0.321,0.41,220,23.2,9.5
"Nicolai, Joey","UC Riverside",0.205,48,46,171,19,35,11,0,0,18,46,0.205,9,16,38,3,0.303,2,0,2,2,0.508,0.064,24,0.268,0.24,198,19.2,4.5
"Pearson, Marcellus","UC Riverside",0.224,27,19,58,4,13,0,1,0,9,15,0.224,4,1,17,0,0.281,1,0,0,0,0.505,0.034,12,0.247,0.24,64,26.6,6.2
"Melendrez, Andrez","UC Riverside",0.308,19,11,39,6,12,1,0,0,3,13,0.308,4,2,9,1,0.4,0,1,0,0,0.708,0.026,11,0.339,0.44,46,19.6,8.7
"Webb, Nate","UC Riverside",0.111,34,28,99,8,11,4,0,0,3,15,0.111,11,4,37,1,0.226,1,0,3,3,0.337,0.04,7,0.189,0.3,115,32.2,9.6
"Carnazzo, Danny","UC Riverside",0.181,37,23,83,10,15,2,1,0,6,19,0.181,16,0,26,2,0.313,0,3,0,0,0.494,0.048,12,0.261,0.62,102,25.5,15.7
"Gamez, Andrew","UC Riverside",0.273,22,20,66,13,18,3,0,0,2,21,0.273,7,4,8,1,0.372,1,3,7,10,0.645,0.045,15,0.319,0.88,81,9.9,8.6
"Grace, Mason","UC Riverside",0.328,22,18,58,2,19,3,0,0,6,22,0.328,2,3,13,2,0.381,0,0,0,0,0.709,0.052,16,0.343,0.15,63,20.6,3.2
"Juline, Tayl","UC Riverside",0.208,23,13,48,6,10,1,0,0,7,11,0.208,9,1,14,1,0.345,0,1,0,0,0.553,0.021,9,0.279,0.64,59,23.7,15.3
"Mcfarland, Anthony","UC Riverside",0.218,44,36,119,16,26,5,0,0,5,31,0.218,9,1,35,2,0.277,1,3,1,3,0.495,0.042,21,0.246,0.26,133,26.3,6.8
"Mcleod, Sean","UC Riverside",0.207,31,29,92,9,19,4,0,1,12,26,0.207,12,4,25,2,0.321,1,2,1,2,0.528,0.076,14,0.283,0.48,111,22.5,10.8
"Stuart, Ely","UC Riverside",0.194,10,10,31,3,6,0,0,0,0,6,0.194,2,5,11,0,0.342,0,0,0,0,0.536,0,6,0.272,0.18,38,28.9,5.3
"Glascoe, Luke","UC San Diego",0.268,31,15,56,13,15,3,0,0,4,18,0.268,14,3,17,0,0.432,1,2,2,3,0.7,0.054,12,0.356,0.82,76,22.4,18.4
"Smith, Jalen","UC San Diego",0.305,54,53,203,32,62,16,3,7,34,105,0.305,30,5,42,6,0.404,2,1,7,10,0.709,0.212,36,0.401,0.71,241,17.4,12.4
"Smith, Austin","UC San Diego",0.261,53,51,176,29,46,9,0,4,30,67,0.261,26,4,31,4,0.367,1,4,0,1,0.628,0.119,33,0.338,0.84,211,14.7,12.3
"Lucchetti, Anthony","UC San Diego",0.216,39,23,102,17,22,5,0,4,18,39,0.216,10,5,26,0,0.314,1,1,0,0,0.53,0.167,13,0.312,0.38,119,21.8,8.4
"Filia, Marc","UC San Diego",0.283,53,50,187,35,53,9,1,10,41,94,0.283,25,15,54,2,0.404,3,0,4,7,0.687,0.219,33,0.398,0.46,230,23.5,10.9
"FitzGerald, B.","UC San Diego",0.289,40,37,128,19,37,7,1,5,23,61,0.289,20,5,28,3,0.403,1,0,1,1,0.692,0.188,24,0.388,0.71,154,18.2,13
"Halbach, Matt","UC San Diego",0.27,51,33,148,29,40,6,3,4,25,64,0.27,13,3,38,4,0.337,2,0,1,2,0.607,0.162,27,0.338,0.34,166,22.9,7.8
"Fuhrman, Michael","UC San Diego",0.266,46,41,169,29,45,12,2,6,27,79,0.266,22,6,49,0,0.367,2,1,3,5,0.633,0.201,25,0.366,0.45,200,24.5,11
"Gonzalez, Emiliano","UC San Diego",0.312,50,45,157,19,49,13,0,1,18,65,0.312,23,2,30,9,0.404,1,0,0,2,0.716,0.102,35,0.367,0.77,183,16.4,12.6
"McNally, Ryan","UC San Diego",0.282,47,36,124,22,35,8,1,2,21,51,0.282,11,7,40,0,0.373,0,4,6,7,0.655,0.129,24,0.352,0.28,146,27.4,7.5
"Robinson, Crew","UC San Diego",0.223,42,36,139,21,31,4,0,4,15,47,0.223,13,5,40,1,0.31,1,0,2,3,0.533,0.115,23,0.294,0.32,158,25.3,8.2
"Sudyka, Noah","UC San Diego",0.254,40,38,114,20,29,5,1,6,23,54,0.254,24,1,40,4,0.386,1,6,2,4,0.64,0.219,17,0.378,0.6,146,27.4,16.4
"Costello, Nick","UC San Diego",0.162,23,7,37,6,6,0,1,0,4,8,0.162,5,1,16,0,0.273,1,0,1,1,0.435,0.054,5,0.233,0.31,44,36.4,11.4
"Kleszcz, Brock","UC San Diego",0.231,27,15,65,14,15,6,1,1,6,26,0.231,2,5,24,1,0.301,1,0,0,1,0.532,0.169,7,0.309,0.08,73,32.9,2.7
"Saunders, Luke","UC San Diego",0.286,36,24,98,19,28,3,3,0,12,37,0.286,10,4,23,0,0.368,2,0,4,6,0.654,0.092,22,0.334,0.43,114,20.2,8.8
"Fitzgerald, Ben","UC Irvine",0.271,46,43,170,34,46,10,3,7,29,83,0.271,26,7,56,1,0.385,2,3,3,5,0.656,0.218,26,0.382,0.46,208,26.9,12.5
"Hadeen, Woody","UC Irvine",0.267,49,49,176,38,47,7,3,1,17,63,0.267,31,19,34,0,0.429,0,9,13,14,0.696,0.091,36,0.367,0.91,235,14.5,13.2
"Church, Nathan","UC Irvine",0.309,53,53,217,46,67,9,2,5,38,95,0.309,27,4,35,6,0.387,5,0,6,11,0.696,0.129,51,0.364,0.77,253,13.8,10.7
"Gleed, Dub","UC Irvine",0.271,49,45,181,34,49,12,2,2,38,71,0.271,14,13,37,3,0.362,2,1,2,2,0.633,0.122,33,0.338,0.38,211,17.5,6.6
"Torres, Justin","UC Irvine",0.28,54,54,200,37,56,16,3,7,36,99,0.28,26,10,59,2,0.385,3,0,5,8,0.665,0.215,30,0.384,0.44,239,24.7,10.9
"McCaffrey, Thomas","UC Irvine",0.229,44,37,144,16,33,8,1,5,27,58,0.229,17,5,40,2,0.329,1,4,1,3,0.558,0.174,19,0.326,0.42,171,23.4,9.9
"Kendle, Caden","UC Irvine",0.328,46,33,122,26,40,5,1,6,16,65,0.328,19,13,21,1,0.465,1,2,5,7,0.793,0.205,28,0.438,0.9,157,13.4,12.1
"Smith, Myles","UC Irvine",0.229,22,11,48,10,11,2,0,1,10,16,0.229,12,0,19,0,0.377,1,1,0,0,0.606,0.104,8,0.329,0.63,62,30.6,19.4
"Castro, Jacob","UC Irvine",0.264,29,20,87,11,23,5,0,1,16,31,0.264,2,2,19,3,0.297,0,0,0,0,0.561,0.092,17,0.29,0.11,91,20.9,2.2
"Nakawake, Taishi","UC Irvine",0.217,56,55,166,32,36,6,1,2,17,50,0.217,25,9,42,1,0.348,1,15,6,7,0.565,0.084,27,0.304,0.6,216,19.4,11.6
"Garcia-Pacheco, A.","UC Irvine",0.25,39,33,116,14,29,2,0,0,11,31,0.25,17,9,27,2,0.385,1,6,0,0,0.635,0.017,27,0.313,0.63,149,18.1,11.4
"McGuire, Connor","UC Irvine",0.162,42,26,99,14,16,5,2,2,19,31,0.162,7,2,26,1,0.225,3,2,1,1,0.387,0.152,7,0.237,0.27,113,23,6.2
"Spillane, Luke","UC Irvine",0.226,50,41,146,20,33,5,2,0,25,42,0.226,18,6,41,1,0.329,3,4,6,9,0.555,0.062,26,0.286,0.44,177,23.2,10.2
"Mico, J.D.","UC Davis",0.229,37,34,140,20,32,6,0,0,9,38,0.229,16,3,32,2,0.317,2,1,2,2,0.546,0.043,26,0.273,0.5,162,19.8,9.9
"Wolbert, Mark","UC Davis",0.351,41,39,151,27,53,10,3,2,15,75,0.351,21,0,49,1,0.428,1,0,3,5,0.779,0.146,38,0.405,0.43,173,28.3,12.1
"Leehey, Nick","UC Davis",0.265,40,40,155,25,41,10,0,5,29,66,0.265,16,3,43,2,0.341,2,0,1,1,0.606,0.161,26,0.338,0.37,176,24.4,9.1
"Henrickson, Jonah","UC Davis",0.248,41,41,157,20,39,8,0,4,16,59,0.248,9,9,55,1,0.326,0,0,3,5,0.574,0.127,27,0.316,0.16,175,31.4,5.1
"Iverson, Nick","UC Davis",0.28,27,24,82,8,23,6,0,1,13,32,0.28,12,7,30,0,0.416,0,0,2,3,0.696,0.11,16,0.369,0.4,101,29.7,11.9
"Brandel, Jake","UC Davis",0.196,29,26,97,9,19,2,0,0,7,21,0.196,5,1,16,2,0.24,1,0,1,2,0.436,0.021,17,0.21,0.31,104,15.4,4.8
"Sandoval, Raul","UC Davis",0.208,36,33,120,13,25,3,2,2,13,38,0.208,10,3,47,5,0.286,0,0,1,2,0.494,0.108,18,0.273,0.21,133,35.3,7.5
"Peng, Nathan","UC Davis",0.254,31,20,63,3,16,3,0,1,7,22,0.254,2,1,17,1,0.284,1,0,0,0,0.538,0.095,12,0.279,0.12,67,25.4,3
"Williams III, James","UC Davis",0.295,35,29,112,13,33,8,1,2,16,49,0.295,22,0,22,3,0.404,2,1,0,1,0.699,0.143,22,0.373,1,137,16.1,16.1
"Acosta, Riley","UC Davis",0.214,19,8,42,6,9,1,0,0,1,10,0.214,2,0,8,1,0.25,0,0,0,1,0.464,0.024,8,0.222,0.25,44,18.2,4.5
"Plascencia, Omar","UC Davis",0.207,24,18,58,9,12,2,0,0,8,14,0.207,13,1,26,2,0.356,1,0,1,1,0.563,0.034,10,0.289,0.5,73,35.6,17.8
"Arenado, Kyler","UC Davis",0.163,40,39,141,8,23,3,0,0,5,26,0.163,12,3,50,1,0.241,2,0,3,5,0.404,0.021,20,0.203,0.24,158,31.6,7.6
"Piazza, Luke","UC Davis",0.194,16,9,36,5,7,2,0,0,2,9,0.194,4,2,14,0,0.31,0,0,0,1,0.504,0.056,5,0.266,0.29,42,33.3,9.5
"Luttrell, Chase","Long Beach St.",0.312,54,54,221,33,69,17,1,9,46,115,0.312,14,5,39,1,0.365,1,1,2,5,0.677,0.208,42,0.385,0.36,242,16.1,5.8
"Peppi, Rocco","Long Beach St.",0.321,54,54,212,36,68,11,0,5,30,94,0.321,13,19,37,2,0.408,1,0,2,4,0.729,0.123,52,0.381,0.35,245,15.1,5.3
"Saldivar, Eddie","Long Beach St.",0.293,52,50,188,27,55,9,2,1,25,71,0.293,16,9,39,1,0.376,0,2,8,14,0.669,0.085,43,0.341,0.41,215,18.1,7.4
"Long, Jonathon","Long Beach St.",0.311,50,50,183,33,57,8,0,6,37,83,0.311,25,6,48,3,0.411,0,4,2,4,0.722,0.142,43,0.386,0.52,218,22,11.5
"Murillo, Sebastian","Long Beach St.",0.283,53,50,180,37,51,7,1,0,18,60,0.283,28,4,51,3,0.39,1,5,2,3,0.673,0.05,43,0.333,0.55,218,23.4,12.8
"Moeller, Kaden","Long Beach St.",0.191,26,14,47,4,9,2,0,1,2,14,0.191,2,3,18,0,0.269,0,1,0,0,0.46,0.106,6,0.26,0.11,53,34,3.8
"Pimentel, Alex","Long Beach St.",0.212,33,21,66,16,14,2,1,2,7,24,0.212,13,2,22,0,0.358,0,2,5,6,0.57,0.152,9,0.331,0.59,83,26.5,15.7
"Burns, Connor","Long Beach St.",0.162,48,42,130,15,21,4,0,1,15,28,0.162,9,0,51,1,0.214,1,3,0,0,0.376,0.054,16,0.197,0.18,143,35.7,6.3
"Rosales, Javier","Long Beach St.",0.115,14,6,26,1,3,1,0,0,1,4,0.115,4,1,13,0,0.258,0,0,0,0,0.373,0.038,2,0.211,0.31,31,41.9,12.9
"Harrison, Devereaux","Long Beach St.",0.179,27,7,28,1,5,2,0,0,2,7,0.179,0,0,12,0,0.172,1,1,0,0,0.351,0.071,3,0.18,0,30,40,0
"Carlson, Tanner","Long Beach St.",0.345,39,32,116,21,40,6,1,2,20,54,0.345,10,0,14,1,0.397,0,5,0,1,0.742,0.121,31,0.38,0.71,131,10.7,7.6
"Jimenez, Chris","Long Beach St.",0.216,35,21,88,15,19,3,0,6,14,40,0.216,9,1,25,1,0.296,0,1,0,1,0.512,0.239,10,0.329,0.36,99,25.3,9.1
"Loust, Charlie","Long Beach St.",0.239,16,11,46,9,11,3,0,2,7,20,0.239,1,2,11,0,0.286,0,0,1,1,0.525,0.196,6,0.316,0.09,49,22.4,2
"Porter, Tyler","Long Beach St.",0.263,31,19,80,7,21,3,1,0,8,26,0.263,12,1,14,1,0.366,0,0,0,0,0.629,0.062,17,0.318,0.86,93,15.1,12.9
"Schulze, Peyton","Long Beach St.",0.268,46,41,157,20,42,10,1,2,20,60,0.268,16,1,30,3,0.335,2,2,4,5,0.603,0.115,29,0.319,0.53,178,16.9,9
"White, Tyler","Long Beach St.",0.205,38,20,78,12,16,2,0,0,5,18,0.205,9,4,20,0,0.319,0,2,4,4,0.524,0.026,14,0.265,0.45,93,21.5,9.7
"Cabrera, Cole","Hawaii",0.292,52,52,192,40,56,10,0,4,34,78,0.292,32,10,40,2,0.41,5,2,14,17,0.702,0.115,42,0.367,0.8,241,16.6,13.3
"Scott, Scotty","Hawaii",0.235,46,41,136,27,32,3,0,1,10,38,0.235,31,9,25,2,0.404,2,8,5,9,0.639,0.044,28,0.33,1.24,186,13.4,16.7
"Ujimori, Aaron","Hawaii",0.237,49,47,186,29,44,6,1,1,24,55,0.237,17,9,43,4,0.33,0,8,2,7,0.567,0.059,36,0.291,0.4,220,19.5,7.7
